symbol,trade_direction,trades,wins,losses,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_move,is_original_119,candidate_type,passes_filter,score
FICO,LONG,2,2,0,1.0,0.01733833634655465,0.01733833634655465,0.0346766726931093,0.0208346307405946,0.0138420419525147,0.0382738514169553,-0.00862463019004845,False,NEW_CANDIDATE,True,0.0346766726931093
KEY,LONG,2,2,0,1.0,0.017129564208299752,0.017129564208299752,0.034259128416599505,0.0242518059855523,0.0100073224310472,0.02521615749669965,-0.01301647333861595,False,NEW_CANDIDATE,True,0.034259128416599505
BAC,LONG,2,2,0,1.0,0.0168840234808821,0.0168840234808821,0.0337680469617642,0.0180104712041884,0.0157575757575758,0.0329770838716804,-0.01333790914319705,True,ORIGINAL,True,0.0337680469617642
PWR,LONG,2,2,0,1.0,0.01592332145064425,0.01592332145064425,0.0318466429012885,0.026024664490388,0.0058219784109005,0.0266340856812986,-0.00769018634697945,True,ORIGINAL,True,0.0318466429012885
TTD,LONG,3,2,1,0.6666666666666666,0.0156920819065918,0.0317236517448007,0.0470762457197754,0.0484479865771811,-0.0330953926022064,0.04892725959898427,-0.0197594895150623,False,NEW_CANDIDATE,True,0.031384163813183596
IT,LONG,2,2,0,1.0,0.0146081032991739,0.0146081032991739,0.0292162065983478,0.0214915503306394,0.0077246562677084,0.0740048776164111,-0.0083030266294904,False,NEW_CANDIDATE,True,0.0292162065983478
NRG,SHORT,2,2,0,1.0,0.0144897518234517,0.0144897518234517,0.0289795036469034,0.0255686131608515,0.0034108904860519,-0.03092718261628595,0.0141632326281766,False,NEW_CANDIDATE,True,0.0289795036469034
CFG,LONG,2,2,0,1.0,0.014164763725116849,0.014164763725116849,0.028329527450233698,0.0183413777972796,0.0099881496529541,0.024027203828857452,-0.0098650443413625,False,NEW_CANDIDATE,True,0.028329527450233698
XYZ,LONG,2,2,0,1.0,0.01381948313386225,0.01381948313386225,0.0276389662677245,0.016746217943532,0.0108927483241925,0.07758407558380205,-0.021149494383415,False,NEW_CANDIDATE,True,0.0276389662677245
STX,SHORT,3,2,1,0.6666666666666666,0.013808839734709132,0.0217222437995893,0.0414265192041274,0.0241770503998511,-0.004472774995313,-0.05657539409029663,0.013816422539694133,False,NEW_CANDIDATE,True,0.027617679469418264
ABNB,LONG,2,2,0,1.0,0.0135500380256868,0.0135500380256868,0.0271000760513736,0.0135588056063375,0.0135412704450361,0.0278083547877052,-0.01125974589581815,False,NEW_CANDIDATE,True,0.0271000760513736
AMP,LONG,2,2,0,1.0,0.0118432565900948,0.0118432565900948,0.0236865131801896,0.0207569939659901,0.0029295192141995,0.0241908214279541,-0.009025951582669601,False,NEW_CANDIDATE,True,0.0236865131801896
CINF,LONG,2,2,0,1.0,0.01093314865263305,0.01093314865263305,0.0218662973052661,0.0153048927452397,0.0065614045600264,0.0255410552451659,-0.00619489598283205,False,NEW_CANDIDATE,True,0.0218662973052661
RF,LONG,2,2,0,1.0,0.0108563205498173,0.0108563205498173,0.0217126410996346,0.0150206533984229,0.0066919877012117,0.03288613939453695,-0.007140140360428799,False,NEW_CANDIDATE,True,0.0217126410996346
