mode,threshold,trading_date,symbol,direction,opening_return_10m,entry_price,exit_price,trade_return,result
reversal,0.0015,2026-03-03,TEL,SHORT,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
reversal,0.0015,2026-03-03,WFC,LONG,-0.008333847768380864,80.32,82.485,0.026954681274900416,WIN
reversal,0.0015,2026-03-03,XYZ,LONG,-0.014117832636643346,62.5,62.84,0.005440000000000111,WIN
reversal,0.0015,2026-03-04,BAC,LONG,-0.010997800439911942,49.46,50.28,0.01657905378083302,WIN
reversal,0.0015,2026-03-04,F,SHORT,0.015063731170336103,13.14,12.81,0.025114155251141558,WIN
reversal,0.0015,2026-03-04,FFIV,LONG,-0.004974768261694407,278.02,286.285,0.029728077116754292,WIN
reversal,0.0015,2026-03-04,LYB,LONG,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
reversal,0.0015,2026-03-04,TEL,SHORT,0.011379835221918988,209.3,209.11,0.0009077878643095925,WIN
reversal,0.0015,2026-03-04,WDAY,LONG,-0.004368932038834927,143.57,143.1,-0.003273664414571331,LOSS
reversal,0.0015,2026-03-04,WFC,LONG,-0.002535619415599988,82.61,83.91,0.015736593632732054,WIN
reversal,0.0015,2026-03-04,XYZ,LONG,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
reversal,0.0015,2026-03-05,LITE,SHORT,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
reversal,0.0015,2026-03-05,LRCX,SHORT,0.004301468905871131,219.47,214.72,0.021643049163894836,WIN
reversal,0.0015,2026-03-05,MAS,SHORT,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
reversal,0.0015,2026-03-05,TEL,SHORT,0.015033720494567193,216.73,210.595,0.028307110229317544,WIN
reversal,0.0015,2026-03-06,APO,LONG,-0.021018367821436956,105.265,108.695,0.032584429772478885,WIN
reversal,0.0015,2026-03-06,APP,LONG,-0.019900939300655063,496.675,502.53,0.01178839281220112,WIN
reversal,0.0015,2026-03-06,BAC,LONG,-0.018537590113285263,47.65,48.61,0.020146904512067243,WIN
reversal,0.0015,2026-03-06,BX,LONG,-0.02626441881100272,109.74,110.43,0.006287588846364267,WIN
reversal,0.0015,2026-03-06,COHR,SHORT,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
reversal,0.0015,2026-03-06,FFIV,LONG,-0.0028105069722190734,276.75,286.21,0.03418247515808481,WIN
reversal,0.0015,2026-03-06,LITE,SHORT,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
reversal,0.0015,2026-03-06,LRCX,SHORT,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
reversal,0.0015,2026-03-06,LYB,LONG,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
reversal,0.0015,2026-03-06,WDAY,LONG,-0.010309278350515538,145.92,151.05,0.03515625000000022,WIN
reversal,0.0015,2026-03-06,WFC,LONG,-0.022592152199762072,78.09,80.39,0.029453195031374113,WIN
reversal,0.0025,2026-03-02,COHR,SHORT,0.029804465197723617,282.29,298.76,-0.05834425590704584,LOSS
reversal,0.0025,2026-03-02,LRCX,SHORT,0.007720828789531176,231.02,230.88,0.000606008137823629,WIN
reversal,0.0025,2026-03-03,APO,LONG,-0.0038488108161452983,100.94,107.11,0.0611254210422032,WIN
reversal,0.0025,2026-03-03,APP,LONG,-0.004447497830488811,412.995,439.14,0.06330585116042564,WIN
reversal,0.0025,2026-03-03,BX,LONG,-0.019170506912442375,106.42,110.915,0.04223830107122728,WIN
reversal,0.0025,2026-03-03,F,SHORT,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
reversal,0.0025,2026-03-03,MAS,SHORT,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
reversal,0.0025,2026-03-03,TEL,SHORT,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
reversal,0.0025,2026-03-03,WFC,LONG,-0.008333847768380864,80.32,82.485,0.026954681274900416,WIN
reversal,0.0025,2026-03-03,XYZ,LONG,-0.014117832636643346,62.5,62.84,0.005440000000000111,WIN
reversal,0.0025,2026-03-04,BAC,LONG,-0.010997800439911942,49.46,50.28,0.01657905378083302,WIN
reversal,0.0025,2026-03-04,F,SHORT,0.015063731170336103,13.14,12.81,0.025114155251141558,WIN
reversal,0.0025,2026-03-04,FFIV,LONG,-0.004974768261694407,278.02,286.285,0.029728077116754292,WIN
reversal,0.0025,2026-03-04,LYB,LONG,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
reversal,0.0025,2026-03-04,TEL,SHORT,0.011379835221918988,209.3,209.11,0.0009077878643095925,WIN
reversal,0.0025,2026-03-04,WDAY,LONG,-0.004368932038834927,143.57,143.1,-0.003273664414571331,LOSS
reversal,0.0025,2026-03-04,WFC,LONG,-0.002535619415599988,82.61,83.91,0.015736593632732054,WIN
reversal,0.0025,2026-03-04,XYZ,LONG,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
reversal,0.0025,2026-03-05,LITE,SHORT,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
reversal,0.0025,2026-03-05,LRCX,SHORT,0.004301468905871131,219.47,214.72,0.021643049163894836,WIN
reversal,0.0025,2026-03-05,MAS,SHORT,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
reversal,0.0025,2026-03-05,TEL,SHORT,0.015033720494567193,216.73,210.595,0.028307110229317544,WIN
reversal,0.0025,2026-03-06,APO,LONG,-0.021018367821436956,105.265,108.695,0.032584429772478885,WIN
reversal,0.0025,2026-03-06,APP,LONG,-0.019900939300655063,496.675,502.53,0.01178839281220112,WIN
reversal,0.0025,2026-03-06,BAC,LONG,-0.018537590113285263,47.65,48.61,0.020146904512067243,WIN
reversal,0.0025,2026-03-06,BX,LONG,-0.02626441881100272,109.74,110.43,0.006287588846364267,WIN
reversal,0.0025,2026-03-06,COHR,SHORT,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
reversal,0.0025,2026-03-06,FFIV,LONG,-0.0028105069722190734,276.75,286.21,0.03418247515808481,WIN
reversal,0.0025,2026-03-06,LITE,SHORT,0.010942651042856744,619.445,558.225,0.09883040463640844,WIN
reversal,0.0025,2026-03-06,LRCX,SHORT,0.007687068210567416,207.12,199.25,0.037997296253379706,WIN
reversal,0.0025,2026-03-06,LYB,LONG,-0.007715133531157381,66.88,67.14,0.0038875598086125507,WIN
reversal,0.0025,2026-03-06,WDAY,LONG,-0.010309278350515538,145.92,151.05,0.03515625000000022,WIN
reversal,0.0025,2026-03-06,WFC,LONG,-0.022592152199762072,78.09,80.39,0.029453195031374113,WIN
