scenario,symbol,trade_direction,trades,win_rate,avg_return,median_return,best_trade,worst_trade,avg_pnl_per_contract
100_SAME_0_NEXT,BKNG,LONG,1,1.0,0.1800457810403346,0.1800457810403346,0.1800457810403346,0.1800457810403346,1710.7500000000002
100_SAME_0_NEXT,BRK.B,SHORT,1,0.0,-0.3449830194504476,-0.3449830194504476,-0.3449830194504476,-0.3449830194504476,-139.67499999999998
100_SAME_0_NEXT,BSX,SHORT,1,0.0,-0.1872491509725222,-0.1872491509725222,-0.1872491509725222,-0.1872491509725222,-30.32499999999998
100_SAME_0_NEXT,BX,LONG,2,1.0,0.43058408215661087,0.43058408215661087,0.8148267008985879,0.0463414634146339,165.81249999999994
100_SAME_0_NEXT,C,LONG,2,0.5,0.17583104052638274,0.17583104052638274,0.3640128854118729,-0.0123508043591074,47.94999999999998
100_SAME_0_NEXT,CF,SHORT,1,1.0,0.005062126092959,0.005062126092959,0.005062126092959,0.005062126092959,1.374999999999993
100_SAME_0_NEXT,CIEN,SHORT,1,1.0,0.0625787618242434,0.0625787618242434,0.0625787618242434,0.0625787618242434,98.07500000000005
100_SAME_0_NEXT,CMCSA,LONG,2,0.5,0.20515376458112425,0.20515376458112425,0.5922587486744435,-0.181951219512195,9.300000000000004
100_SAME_0_NEXT,COHR,LONG,2,0.5,-0.025727102629683,-0.025727102629683,0.0494899332142768,-0.1009441384736428,-54.900000000000034
100_SAME_0_NEXT,COHR,SHORT,1,1.0,1.1737527716186251,1.1737527716186251,1.1737527716186251,1.1737527716186251,1058.725
100_SAME_0_NEXT,COP,SHORT,1,0.0,-0.0416014726184997,-0.0416014726184997,-0.0416014726184997,-0.0416014726184997,-11.3
100_SAME_0_NEXT,COST,SHORT,1,0.0,-0.5210382565846019,-0.5210382565846019,-0.5210382565846019,-0.5210382565846019,-681.9999999999999
100_SAME_0_NEXT,CRM,LONG,1,1.0,0.2966623876765082,0.2966623876765082,0.2966623876765082,0.2966623876765082,115.54999999999995
100_SAME_0_NEXT,CRWD,LONG,1,1.0,0.7774216027874568,0.7774216027874568,0.7774216027874568,0.7774216027874568,1115.6
100_SAME_0_NEXT,CVNA,LONG,1,0.0,-0.0047425474254743,-0.0047425474254743,-0.0047425474254743,-0.0047425474254743,-5.250000000000021
100_SAME_0_NEXT,CVNA,SHORT,1,0.0,-0.3029857022708159,-0.3029857022708159,-0.3029857022708159,-0.3029857022708159,-360.2500000000001
100_SAME_0_NEXT,CVX,SHORT,1,0.0,-0.1222079589216945,-0.1222079589216945,-0.1222079589216945,-0.1222079589216945,-35.70000000000002
100_SAME_0_NEXT,DAL,LONG,1,0.0,-0.316674962667994,-0.316674962667994,-0.316674962667994,-0.316674962667994,-79.525
100_SAME_0_NEXT,DE,SHORT,1,0.0,-0.2140946595339558,-0.2140946595339558,-0.2140946595339558,-0.2140946595339558,-236.12499999999983
100_SAME_0_NEXT,DECK,SHORT,1,0.0,-0.0487804878048782,-0.0487804878048782,-0.0487804878048782,-0.0487804878048782,-13.250000000000028
100_SAME_0_NEXT,DELL,LONG,1,0.0,-0.4288862768145752,-0.4288862768145752,-0.4288862768145752,-0.4288862768145752,-218.92499999999995
100_SAME_0_NEXT,DG,SHORT,1,1.0,0.06479796141245,0.06479796141245,0.06479796141245,0.06479796141245,44.50000000000003
100_SAME_0_NEXT,DLTR,SHORT,2,0.0,-0.2109019667485811,-0.2109019667485811,-0.0934225587743242,-0.328381374722838,-68.79999999999998
100_SAME_0_NEXT,DOW,LONG,1,0.0,-0.3220031136481578,-0.3220031136481578,-0.3220031136481578,-0.3220031136481578,-31.025
100_SAME_0_NEXT,DVN,SHORT,1,0.0,-0.0583887657058387,-0.0583887657058387,-0.0583887657058387,-0.0583887657058387,-5.92499999999998
100_SAME_0_NEXT,EBAY,LONG,1,1.0,0.0990441661173369,0.0990441661173369,0.0990441661173369,0.0990441661173369,15.025
100_SAME_0_NEXT,F,SHORT,2,1.0,0.5092431281455673,0.5092431281455673,0.7615176151761518,0.2569686411149827,14.225000000000001
100_SAME_0_NEXT,FISV,LONG,1,1.0,0.3577235772357725,0.3577235772357725,0.3577235772357725,0.3577235772357725,42.900000000000006
100_SAME_0_NEXT,FTNT,LONG,1,0.0,-0.0225399495374263,-0.0225399495374263,-0.0225399495374263,-0.0225399495374263,-3.3499999999999863
100_SAME_0_NEXT,GDDY,LONG,1,1.0,0.3909341923607914,0.3909341923607914,0.3909341923607914,0.3909341923607914,84.94999999999999
100_SAME_0_NEXT,GLW,SHORT,1,1.0,0.6220795892169444,0.6220795892169444,0.6220795892169444,0.6220795892169444,302.8749999999999
100_SAME_0_NEXT,GNRC,LONG,1,0.0,-0.420620842572062,-0.420620842572062,-0.420620842572062,-0.420620842572062,-237.12499999999997
100_SAME_0_NEXT,GS,LONG,1,0.0,-0.2086461223893676,-0.2086461223893676,-0.2086461223893676,-0.2086461223893676,-535.725
100_SAME_0_NEXT,HAL,SHORT,1,1.0,0.0197073170731707,0.0197073170731707,0.0197073170731707,0.0197073170731707,2.5249999999999995
100_SAME_0_NEXT,HLT,LONG,1,1.0,0.0168208578637512,0.0168208578637512,0.0168208578637512,0.0168208578637512,10.000000000000052
100_SAME_0_NEXT,HOOD,LONG,1,0.0,-0.1544715447154471,-0.1544715447154471,-0.1544715447154471,-0.1544715447154471,-49.87499999999998
100_SAME_0_NEXT,HPE,LONG,1,1.0,0.1600237953599048,0.1600237953599048,0.1600237953599048,0.1600237953599048,13.450000000000006
100_SAME_0_NEXT,HUM,SHORT,2,0.0,-0.0477554667788056,-0.0477554667788056,-0.0467304457527332,-0.048780487804878,-20.86249999999996
100_SAME_0_NEXT,IBKR,LONG,1,0.0,-0.048780487804878,-0.048780487804878,-0.048780487804878,-0.048780487804878,-5.249999999999999
100_SAME_0_NEXT,IBM,LONG,1,1.0,0.3396191617870812,0.3396191617870812,0.3396191617870812,0.3396191617870812,184.1500000000001
100_SAME_0_NEXT,INTC,LONG,1,0.0,-0.3273519163763065,-0.3273519163763065,-0.3273519163763065,-0.3273519163763065,-46.97499999999999
100_SAME_0_NEXT,INTU,LONG,1,1.0,0.5630439024390246,0.5630439024390246,0.5630439024390246,0.5630439024390246,721.4000000000001
100_SAME_0_NEXT,JPM,LONG,1,1.0,0.114870180959874,0.114870180959874,0.114870180959874,0.114870180959874,54.74999999999994
100_SAME_0_NEXT,KKR,LONG,1,1.0,0.0381881533101047,0.0381881533101047,0.0381881533101047,0.0381881533101047,13.700000000000044
100_SAME_0_NEXT,LEN,SHORT,1,1.0,0.135326514555468,0.135326514555468,0.135326514555468,0.135326514555468,42.99999999999997
100_SAME_0_NEXT,LITE,LONG,1,0.0,-0.2044543140736481,-0.2044543140736481,-0.2044543140736481,-0.2044543140736481,-1102.5249999999992
100_SAME_0_NEXT,LITE,SHORT,1,1.0,0.737293262114679,0.737293262114679,0.737293262114679,0.737293262114679,2864.2
100_SAME_0_NEXT,LRCX,SHORT,2,1.0,0.38263087697255505,0.38263087697255505,0.6397350012953846,0.1255267526497254,277.49999999999994
