threshold,trading_date,symbol,event_bias,trade_direction,prior_relative_return,opening_return,entry_price,exit_price,trade_return
0.005,2026-03-05,LEN,SHORT,SHORT,-0.026132042211379214,0.006638846737481163,106.14,104.2,0.01827774637271526
0.005,2026-03-05,LITE,SHORT,SHORT,-0.08725645188429887,0.036119146274724345,662.65,651.095,0.01743756130687384
0.005,2026-03-05,LRCX,SHORT,SHORT,-0.03367982503578992,0.011989200567427805,221.15,214.72,0.029075288265882914
0.005,2026-03-05,MAS,SHORT,SHORT,-0.04751349092401436,0.0067252974650802155,68.11,65.3,0.0412567904859786
0.005,2026-03-05,MCHP,SHORT,SHORT,-0.039840325572871316,0.0193478260869564,70.335,67.85,0.03533091632899694
0.005,2026-03-05,MOS,SHORT,SHORT,-0.088164954588837,0.04594594594594592,27.09,26.285,0.029715762273901797
0.005,2026-03-05,MTD,SHORT,SHORT,-0.03918060999094408,0.0081710627481133,1285.035,1261.43,0.01836914947841889
0.005,2026-03-05,NCLH,SHORT,SHORT,-0.04700407336035628,0.03586800573888094,21.66,20.925,0.03393351800554014
0.005,2026-03-05,NRG,SHORT,SHORT,-0.028015847664159765,0.01770814018171718,164.655,160.445,0.025568613160851527
0.005,2026-03-05,NTRS,LONG,LONG,0.021309218594812496,-0.008196156760107431,144.0,143.51,-0.0034027777777778656
0.005,2026-03-05,ON,SHORT,SHORT,-0.030046032151794466,0.0188740910205083,62.35,60.845,0.0241379310344828
0.005,2026-03-05,OXY,SHORT,SHORT,-0.053445478177402084,0.006299796183064643,54.31,53.24,0.019701712391824715
0.005,2026-03-05,PFE,SHORT,SHORT,-0.038228670659823605,0.005319148936170137,26.46,26.59,-0.004913076341647732
0.005,2026-03-05,PKG,LONG,LONG,0.022929695182435594,-0.009007440929463484,227.74,226.02,-0.007552472117326792
0.005,2026-03-05,PSKY,SHORT,SHORT,-0.09615282584006624,0.022295623451692892,12.38,11.75,0.05088852988691444
0.005,2026-03-05,Q,SHORT,SHORT,-0.03240885294646367,0.012425257622662444,119.37,115.905,0.029027393817542123
0.005,2026-03-05,ROK,SHORT,SHORT,-0.03480345560783915,0.015138259232747364,382.9,378.18,0.01232697832332194
0.005,2026-03-05,ROST,SHORT,SHORT,-0.03056651295490509,0.006720588582073805,213.46,214.82,-0.00637121708985283
0.005,2026-03-05,SNDK,SHORT,SHORT,-0.020131966754240227,0.008607488430795174,599.365,565.74,0.05610104026761656
0.005,2026-03-05,SOLV,SHORT,SHORT,-0.035636938776203775,0.021021667384129694,71.155,70.76,0.005551261330897281
0.005,2026-03-05,STX,SHORT,SHORT,-0.049862758906967675,0.014582996387945357,376.39,367.29,0.02417705039985113
0.005,2026-03-05,STZ,SHORT,SHORT,-0.04438275533018876,0.012794029452922073,151.99,147.295,0.03089019014408857
0.005,2026-03-05,SWK,SHORT,SHORT,-0.03841686810512135,0.012035981249207905,79.88,77.92,0.02453680520781164
0.005,2026-03-05,SWKS,SHORT,SHORT,-0.03383969602877701,0.02303571428571427,57.29,56.485,0.014051317856519458
0.005,2026-03-05,SYY,SHORT,SHORT,-0.04340213911742341,0.008953488372092977,86.77,85.775,0.011467096922899508
0.005,2026-03-05,TAP,SHORT,SHORT,-0.032919696503446394,0.011412116040955489,47.415,47.1,0.0066434672571970416
0.005,2026-03-05,TEL,SHORT,SHORT,-0.06496289897938212,0.0333926564256275,220.65,210.595,0.045569907092680745
0.005,2026-03-05,TPR,LONG,LONG,0.03242474292669595,-0.01378144705194051,151.71,149.55,-0.014237690330235253
0.005,2026-03-05,TTD,LONG,LONG,0.08054407132999142,-0.022052990639378045,30.82,29.8,-0.0330953926022064
0.005,2026-03-05,VLTO,SHORT,SHORT,-0.024654251561701312,0.007510048656653279,95.25,95.21,0.00041994750656174545
0.005,2026-03-05,VRSK,LONG,LONG,0.027643635956796198,-0.03755402001340391,208.23,211.24,0.014455169764203246
0.005,2026-03-05,VST,SHORT,SHORT,-0.030202251725881535,0.022772795907676224,165.95,167.4,-0.008737571557698205
0.005,2026-03-06,ABNB,LONG,LONG,0.03533189535861325,-0.01638730918886555,131.45,133.23,0.013541270445036169
0.005,2026-03-06,ADBE,LONG,LONG,0.07236399461914411,-0.011481547512925516,277.23,283.63,0.023085524654618883
0.005,2026-03-06,ADSK,LONG,LONG,0.07603686848363855,-0.010495727149329892,258.79,261.03,0.008655666756829605
0.005,2026-03-06,AKAM,LONG,LONG,0.06191697752602221,-0.026737432405367523,97.19,99.91,0.02798641835579785
0.005,2026-03-06,AMP,LONG,LONG,0.026424108200637564,-0.00895905364559546,455.75,465.21,0.020756993965990178
0.005,2026-03-06,AON,LONG,LONG,0.02182137871746037,-0.00532828133325447,336.02,340.59,0.013600380929706501
0.005,2026-03-06,APO,LONG,LONG,0.1271644432531609,-0.014647756335735895,105.95,108.695,0.025908447380839972
0.005,2026-03-06,APP,LONG,LONG,0.23197016825544448,-0.026975294024784935,493.09,502.53,0.019144578068912343
0.005,2026-03-06,APTV,LONG,LONG,0.036488737384056336,-0.0188471591690742,71.32,72.71,0.01948962422882783
0.005,2026-03-06,AXP,LONG,LONG,0.02845199099129725,-0.00800652506824684,297.975,300.93,0.009916939340548714
0.005,2026-03-06,AZO,LONG,LONG,0.021035686194321945,-0.02016833497066084,3690.34,3636.2,-0.014670734945831598
0.005,2026-03-06,BAC,LONG,LONG,0.036420761352160325,-0.016477857878475777,47.75,48.61,0.018010471204188416
0.005,2026-03-06,BBY,LONG,LONG,0.03336586607753178,-0.016380894060012197,64.25,66.7,0.038132295719844445
0.005,2026-03-06,BEN,LONG,LONG,0.047179698116389,-0.0159695817490495,25.88,26.245,0.01410355486862458
0.005,2026-03-06,BKNG,LONG,LONG,0.08278196963384654,-0.005772465692784445,4491.92,4552.29,0.013439687260681454
0.005,2026-03-06,BLK,LONG,LONG,0.021957372803256492,-0.024081089795260358,968.58,955.3,-0.013710793119825038
0.005,2026-03-06,BX,LONG,LONG,0.09942186883865811,-0.02590949423247557,109.78,110.43,0.005920932774640342
0.005,2026-03-06,C,LONG,LONG,0.036392612719559736,-0.011761904761904751,103.765,106.545,0.026791307280874976
0.005,2026-03-06,CAT,SHORT,SHORT,-0.020596331136849333,0.005464040015842109,685.455,680.51,0.007214186197489331
0.005,2026-03-06,CDW,LONG,LONG,0.049209815359563036,-0.01198310179543427,121.615,123.34,0.014184105579081674
0.005,2026-03-06,CFG,LONG,LONG,0.02584041468722642,-0.013505324214353798,56.975,58.02,0.018341377797279623
0.005,2026-03-06,CIEN,SHORT,SHORT,-0.035085492429282605,0.035666814355338916,303.875,293.96,0.03262854792266564
0.005,2026-03-06,CMCSA,LONG,LONG,0.026048357348134266,-0.012233873530346329,31.085,31.89,0.02589673475953025
0.005,2026-03-06,CMG,LONG,LONG,0.024305819176105192,-0.04380849043808499,35.25,35.34,0.002553191489361728
0.005,2026-03-06,COF,LONG,LONG,0.023517629049758515,-0.016694535127531274,185.24,187.69,0.013226085078816618
0.005,2026-03-06,COHR,SHORT,SHORT,-0.05448012191675755,0.028284518828451954,245.76,235.59,0.04138183593749995
0.005,2026-03-06,COIN,LONG,LONG,0.16102168047743448,-0.009777240197560766,196.48,197.215,0.003740838762215093
0.005,2026-03-06,COST,SHORT,SHORT,-0.028569855860630655,0.021390789085888873,987.69,998.31,-0.010752361570938139
0.005,2026-03-06,CPAY,LONG,LONG,0.028409471154139165,-0.01900170164492332,311.31,314.41,0.009957919758440292
0.005,2026-03-06,CRM,LONG,LONG,0.03833435096065485,-0.019910242741315698,197.64,202.085,0.02249038656142499
