symbol,theme,event_return_5d,universe_return_5d,relative_return_5d,impact,positive_days,negative_days,best_day,best_day_return,worst_day,worst_day_return,max_intraday_up,max_intraday_down,avg_intraday_range
LOW,Consumer,0.025966512587126678,0.012874782683796271,0.013091729903330407,LIMITED / MARKET-LIKE,3,2,2026-03-03,0.023668639053254337,2026-03-02,-0.004375435607527289,0.02803701203288189,-0.010919765166340523,0.018751185591078377
NOC,Defense,0.024169569085412235,0.012874782683796271,0.011294786401615964,LIMITED / MARKET-LIKE,2,3,2026-03-02,0.036918918918918964,2026-03-05,-0.012972972972973063,0.03739189189189185,-0.026001887925856115,0.02721649908445962
DUK,Utilities,0.0203357765109069,0.012874782683796271,0.007460993827110629,LIMITED / MARKET-LIKE,5,0,2026-03-06,0.008294650331025055,2026-03-05,0.0006081800212864863,0.01092854413450528,-0.01795949560565524,0.017789305055639693
EXC,Utilities,0.019479110922333343,0.012874782683796271,0.006604328238537072,LIMITED / MARKET-LIKE,3,2,2026-03-06,0.01773195876288658,2026-03-03,-0.004068348250610199,0.01938144329896896,-0.028681855166802217,0.02008579716141252
UNH,Healthcare,0.018420574589735894,0.012874782683796271,0.005545791905939623,LIMITED / MARKET-LIKE,3,2,2026-03-02,0.02106812083441545,2026-03-06,-0.0056914801318757036,0.022418419458149375,-0.017143848689918473,0.02437509650893639
TMO,Healthcare,0.017031483357232702,0.012874782683796271,0.004156700673436431,LIMITED / MARKET-LIKE,3,2,2026-03-05,0.02947274440751957,2026-03-06,-0.0229191797346201,0.03256782897673749,-0.027024397836491798,0.02670229706177083
REGN,Healthcare,0.016230375149262066,0.012874782683796271,0.0033555924654657954,LIMITED / MARKET-LIKE,3,2,2026-03-04,0.027047117278074184,2026-03-03,-0.023451087822126016,0.03214616397803893,-0.025260408371293064,0.026494797463770058
COST,Consumer,0.016219732192050307,0.012874782683796271,0.003344949508254036,LIMITED / MARKET-LIKE,3,2,2026-03-06,0.03237315215536629,2026-03-05,-0.011786909585042471,0.0364682705880528,-0.01440901884798318,0.021711002656915702
XEL,Utilities,0.015349283045046347,0.012874782683796271,0.002474500361250076,LIMITED / MARKET-LIKE,4,1,2026-03-06,0.009294362235538811,2026-03-05,-0.007407853529269981,0.013696954873425593,-0.01951337027222344,0.01970456028433869
GD,Defense,0.012694681322150236,0.012874782683796271,-0.00018010136164603452,LIMITED / MARKET-LIKE,4,1,2026-03-06,0.006968592842992116,2026-03-05,-0.00963676797627866,0.010576020323631807,-0.025464678911676808,0.023117320010106336
PLD,Real Estate,0.012257879616273781,0.012874782683796271,-0.0006169030675224896,LIMITED / MARKET-LIKE,2,3,2026-03-02,0.015299224364904385,2026-03-04,-0.01032867182508701,0.01739842026613525,-0.01994746929793423,0.019342910039112482
PSX,Energy,0.01092523454889438,0.012874782683796271,-0.0019495481349018906,LIMITED / MARKET-LIKE,2,3,2026-03-04,0.03304075235109716,2026-03-03,-0.01486186482486429,0.03492163009404381,-0.03490379871731619,0.035345491759960934
AEP,Utilities,0.01071649964760657,0.012874782683796271,-0.002158283036189701,LIMITED / MARKET-LIKE,2,3,2026-03-06,0.010962894817540647,2026-03-05,-0.004524204494043116,0.016712664826740387,-0.018181818181818188,0.01912495992600154
LHX,Defense,0.01030458914604604,0.012874782683796271,-0.0025701935377502316,LIMITED / MARKET-LIKE,2,3,2026-03-02,0.027132203389830467,2026-03-03,-0.016332531408714268,0.028406779661017012,-0.020300052016316572,0.025418767818971722
VLO,Energy,0.007981098112512353,0.012874782683796271,-0.004893684571283918,LIMITED / MARKET-LIKE,1,4,2026-03-04,0.040106951871657914,2026-03-05,-0.014564785201832464,0.041674349990780124,-0.034272625118852096,0.04250611288103556
SO,Utilities,0.00635007118849229,0.012874782683796271,-0.006524711495303981,LIMITED / MARKET-LIKE,3,2,2026-03-06,0.006033726986746535,2026-03-02,-0.002666940198994716,0.01184932215668022,-0.015092402464065735,0.017222122618438186
HON,Industrials,0.005330618626443462,0.012874782683796271,-0.007544164057352809,LIMITED / MARKET-LIKE,2,3,2026-03-02,0.02568769389865566,2026-03-05,-0.02217572363427489,0.026597724922440502,-0.031448089113176314,0.025204722186501938
WMT,Consumer,0.005221224252263568,0.012874782683796271,-0.007653558431532703,LIMITED / MARKET-LIKE,3,2,2026-03-06,0.01106664488729181,2026-03-05,-0.016430052639974546,0.014543155232374483,-0.029510288722284117,0.02029513559619267
BRK.B,Financials,0.005028251422375618,0.012874782683796271,-0.007846531261420653,LIMITED / MARKET-LIKE,3,2,2026-03-04,0.013523908523908501,2026-03-02,-0.029387680829769836,0.01692307692307682,-0.03361336042620733,0.021711983148775184
ABBV,Healthcare,0.004333111042778004,0.012874782683796271,-0.008541671641018267,LIMITED / MARKET-LIKE,3,2,2026-03-04,0.012083297626189093,2026-03-06,-0.006348932126892248,0.015832547776158945,-0.02295994859712991,0.020974385413338757
TDG,Defense,0.0025447431890053274,0.012874782683796271,-0.010330039494790944,LIMITED / MARKET-LIKE,3,2,2026-03-03,0.013134928061538265,2026-03-05,-0.012308936761215916,0.02128582494190545,-0.022912326488252033,0.023799892903392506
