gap_threshold,reversal_threshold,entry_window_minutes,trades,long_trades,short_trades,win_rate,avg_return,median_return,profit_factor,portfolio_return,max_drawdown,positive_days,trading_days,rank_score
0.0,0.0015,5,14,5,9,0.7857142857142857,0.02640688109049562,0.025164073451154702,47.234303367361285,0.10344780258638098,-0.0027361563517914744,4,5,0.8543009639935548
0.0,0.0025,5,14,5,9,0.7857142857142857,0.02640688109049562,0.025164073451154702,47.234303367361285,0.10344780258638098,-0.0027361563517914744,4,5,0.8543009639935548
0.005,0.0015,5,12,3,9,0.75,0.02798154760058254,0.02992057155966102,42.99254048389116,0.11405893964273583,-0.0027361563517914744,4,5,0.8076907518763774
0.005,0.0025,5,12,3,9,0.75,0.02798154760058254,0.02992057155966102,42.99254048389116,0.11405893964273583,-0.0027361563517914744,4,5,0.8076907518763774
0.01,0.0015,5,12,3,9,0.75,0.02798154760058254,0.02992057155966102,42.99254048389116,0.11405893964273583,-0.0027361563517914744,4,5,0.8076907518763774
0.01,0.0025,5,12,3,9,0.75,0.02798154760058254,0.02992057155966102,42.99254048389116,0.11405893964273583,-0.0027361563517914744,4,5,0.8076907518763774
0.02,0.0035,5,9,1,8,0.7777777777777778,0.030550356804857386,0.03012967200610218,38.529328713059634,0.11791748714729611,-0.004590199345800072,3,5,0.7932569483916954
0.03,0.0015,5,5,0,5,0.8,0.040497121103904195,0.03887897351792003,45.11259517623897,0.07031480675706003,-0.004590199345800072,2,3,0.7718301448900531
0.03,0.0025,5,5,0,5,0.8,0.040497121103904195,0.03887897351792003,45.11259517623897,0.07031480675706003,-0.004590199345800072,2,3,0.7718301448900531
0.03,0.0035,5,5,0,5,0.8,0.040497121103904195,0.03887897351792003,45.11259517623897,0.07031480675706003,-0.004590199345800072,2,3,0.7718301448900531
0.03,0.005,5,5,0,5,0.8,0.040497121103904195,0.03887897351792003,45.11259517623897,0.07031480675706003,-0.004590199345800072,2,3,0.7718301448900531
0.02,0.0015,5,10,2,8,0.7,0.027428341887934943,0.019311996472908384,35.301943480041146,0.10039065279731352,-0.004590199345800072,3,5,0.6650519174595781
0.02,0.0025,5,10,2,8,0.7,0.027428341887934943,0.019311996472908384,35.301943480041146,0.10039065279731352,-0.004590199345800072,3,5,0.6650519174595781
