gap_threshold,reversal_threshold,entry_window_minutes,trading_date,trades,wins,daily_return,win_rate
0.02,0.0035,10,2026-03-02,1,1,0.000606008137823629,1.0
0.02,0.0035,10,2026-03-03,3,3,0.01562935870047651,1.0
0.02,0.0035,10,2026-03-04,1,1,0.045147679324894385,1.0
0.02,0.0035,10,2026-03-05,1,1,0.0062880123318300165,1.0
0.02,0.0035,10,2026-03-06,4,4,0.0437411960391393,1.0
0.02,0.005,5,2026-03-03,2,2,0.005968393898407793,1.0
0.02,0.005,5,2026-03-04,1,1,0.0416316232127838,1.0
0.02,0.005,5,2026-03-05,1,0,-0.0045901993458001954,0.0
0.02,0.005,5,2026-03-06,3,3,0.0661938279752022,1.0
0.02,0.005,10,2026-03-02,1,1,0.000606008137823629,1.0
0.02,0.005,10,2026-03-03,3,3,0.01562935870047651,1.0
0.02,0.005,10,2026-03-04,1,1,0.045147679324894385,1.0
0.02,0.005,10,2026-03-05,1,1,0.0062880123318300165,1.0
0.02,0.005,10,2026-03-06,4,4,0.0437411960391393,1.0
0.03,0.0015,5,2026-03-03,1,1,0.00849432093971459,1.0
0.03,0.0015,5,2026-03-05,1,0,-0.0045901993458001954,0.0
0.03,0.0015,5,2026-03-06,3,3,0.0661938279752022,1.0
0.03,0.0015,10,2026-03-03,1,1,0.011182108626198093,1.0
0.03,0.0015,10,2026-03-05,1,1,0.0062880123318300165,1.0
0.03,0.0015,10,2026-03-06,3,3,0.05702574144931488,1.0
0.03,0.0025,5,2026-03-03,1,1,0.00849432093971459,1.0
0.03,0.0025,5,2026-03-05,1,0,-0.0045901993458001954,0.0
0.03,0.0025,5,2026-03-06,3,3,0.0661938279752022,1.0
0.03,0.0025,10,2026-03-03,1,1,0.011182108626198093,1.0
0.03,0.0025,10,2026-03-05,1,1,0.0062880123318300165,1.0
0.03,0.0025,10,2026-03-06,3,3,0.05702574144931488,1.0
0.03,0.0035,5,2026-03-03,1,1,0.00849432093971459,1.0
0.03,0.0035,5,2026-03-05,1,0,-0.0045901993458001954,0.0
0.03,0.0035,5,2026-03-06,3,3,0.0661938279752022,1.0
0.03,0.0035,10,2026-03-03,1,1,0.011182108626198093,1.0
0.03,0.0035,10,2026-03-05,1,1,0.0062880123318300165,1.0
0.03,0.0035,10,2026-03-06,3,3,0.05702574144931488,1.0
0.03,0.005,5,2026-03-03,1,1,0.00849432093971459,1.0
0.03,0.005,5,2026-03-05,1,0,-0.0045901993458001954,0.0
0.03,0.005,5,2026-03-06,3,3,0.0661938279752022,1.0
0.03,0.005,10,2026-03-03,1,1,0.011182108626198093,1.0
0.03,0.005,10,2026-03-05,1,1,0.0062880123318300165,1.0
0.03,0.005,10,2026-03-06,3,3,0.05702574144931488,1.0
