signal_id,trading_date,symbol,trade_direction,option_type,underlying_entry_price,target_dte,moneyness_mode,target_strike,option_symbol,expiration_date,actual_dte,strike_price,contract_size,contract_found
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,14,ATM,566.14,AXON260320C00570000,2026-03-20,17,570.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,14,ITM_1,560.4786,AXON260320C00560000,2026-03-20,17,560.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,14,ITM_2,554.8172,AXON260320C00550000,2026-03-20,17,550.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,14,OTM_1,571.8014,AXON260320C00570000,2026-03-20,17,570.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,14,OTM_2,577.4628,AXON260320C00580000,2026-03-20,17,580.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,21,ATM,566.14,AXON260320C00570000,2026-03-20,17,570.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,21,ITM_1,560.4786,AXON260320C00560000,2026-03-20,17,560.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,21,ITM_2,554.8172,AXON260320C00550000,2026-03-20,17,550.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,21,OTM_1,571.8014,AXON260320C00570000,2026-03-20,17,570.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,21,OTM_2,577.4628,AXON260320C00580000,2026-03-20,17,580.0,100,True
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,30,ATM,566.14,,,,,,False
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,30,ITM_1,560.4786,,,,,,False
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,30,ITM_2,554.8172,,,,,,False
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,30,OTM_1,571.8014,,,,,,False
2026-03-03:AXON:LONG,2026-03-03,AXON,LONG,call,566.14,30,OTM_2,577.4628,,,,,,False
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,7,ATM,26.1,,,,,,False
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,7,ITM_1,25.839000000000002,,,,,,False
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,7,ITM_2,25.578,,,,,,False
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,7,OTM_1,26.361,,,,,,False
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,7,OTM_2,26.622000000000003,,,,,,False
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,14,ATM,26.1,BEN260320C00026000,2026-03-20,17,26.0,100,True
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,14,ITM_1,25.839000000000002,BEN260320C00026000,2026-03-20,17,26.0,100,True
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,14,ITM_2,25.578,BEN260320C00026000,2026-03-20,17,26.0,100,True
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,14,OTM_1,26.361,BEN260320C00026000,2026-03-20,17,26.0,100,True
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,14,OTM_2,26.622000000000003,BEN260320C00027000,2026-03-20,17,27.0,100,True
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,21,ATM,26.1,BEN260320C00026000,2026-03-20,17,26.0,100,True
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,21,ITM_1,25.839000000000002,BEN260320C00026000,2026-03-20,17,26.0,100,True
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,21,ITM_2,25.578,BEN260320C00026000,2026-03-20,17,26.0,100,True
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,21,OTM_1,26.361,BEN260320C00026000,2026-03-20,17,26.0,100,True
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,21,OTM_2,26.622000000000003,BEN260320C00027000,2026-03-20,17,27.0,100,True
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,30,ATM,26.1,,,,,,False
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,30,ITM_1,25.839000000000002,,,,,,False
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,30,ITM_2,25.578,,,,,,False
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,30,OTM_1,26.361,,,,,,False
2026-03-03:BEN:LONG,2026-03-03,BEN,LONG,call,26.1,30,OTM_2,26.622000000000003,,,,,,False
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,7,ATM,106.42,BX260313C00106000,2026-03-13,10,106.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,7,ITM_1,105.3558,BX260313C00105000,2026-03-13,10,105.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,7,ITM_2,104.2916,BX260313C00104000,2026-03-13,10,104.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,7,OTM_1,107.4842,BX260313C00107000,2026-03-13,10,107.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,7,OTM_2,108.5484,BX260313C00109000,2026-03-13,10,109.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,14,ATM,106.42,BX260320C00106000,2026-03-20,17,106.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,14,ITM_1,105.3558,BX260320C00105000,2026-03-20,17,105.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,14,ITM_2,104.2916,BX260320C00104000,2026-03-20,17,104.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,14,OTM_1,107.4842,BX260320C00107000,2026-03-20,17,107.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,14,OTM_2,108.5484,BX260320C00109000,2026-03-20,17,109.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,21,ATM,106.42,BX260327C00106000,2026-03-27,24,106.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,21,ITM_1,105.3558,BX260327C00105000,2026-03-27,24,105.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,21,ITM_2,104.2916,BX260327C00104000,2026-03-27,24,104.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,21,OTM_1,107.4842,BX260327C00107000,2026-03-27,24,107.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,21,OTM_2,108.5484,BX260327C00109000,2026-03-27,24,109.0,100,True
