threshold,symbol,trade_direction,trades,wins,win_rate,avg_return,total_return
0.005,RJF,LONG,1,1,1.0,0.0005592841163311046,0.0005592841163311046
0.005,VLTO,SHORT,1,1,1.0,0.00041994750656174545,0.00041994750656174545
0.005,CMG,LONG,2,1,0.5,-0.0002861165803633159,-0.0005722331607266318
0.005,EME,LONG,1,0,0.0,-0.0005329843073227369,-0.0005329843073227369
0.005,RL,LONG,1,0,0.0,-0.0009437104474296909,-0.0009437104474296909
0.005,URI,LONG,1,0,0.0,-0.0012456371865865457,-0.0012456371865865457
0.005,DVN,SHORT,1,0,0.0,-0.0015753347586362164,-0.0015753347586362164
0.005,WYNN,LONG,1,0,0.0,-0.0016209047595658888,-0.0016209047595658888
0.005,J,LONG,1,0,0.0,-0.0017972417840376176,-0.0017972417840376176
0.005,DPZ,LONG,1,0,0.0,-0.002205590800951618,-0.002205590800951618
0.005,TMO,LONG,1,0,0.0,-0.0024630541871921707,-0.0024630541871921707
0.005,HOOD,LONG,1,0,0.0,-0.002524108471943509,-0.002524108471943509
0.005,IQV,LONG,1,0,0.0,-0.002772141407790696,-0.002772141407790696
0.005,CHRW,LONG,1,0,0.0,-0.002783686546390385,-0.002783686546390385
0.005,TFC,LONG,1,0,0.0,-0.003045066991473777,-0.003045066991473777
0.005,APA,SHORT,1,0,0.0,-0.003098853424232857,-0.003098853424232857
0.005,NTRS,LONG,1,0,0.0,-0.0034027777777778656,-0.0034027777777778656
0.005,DAL,LONG,1,0,0.0,-0.003818034118602709,-0.003818034118602709
0.005,RVTY,LONG,1,0,0.0,-0.004141689373296953,-0.004141689373296953
0.005,T,LONG,1,0,0.0,-0.004518595759471666,-0.004518595759471666
0.005,PFE,SHORT,1,0,0.0,-0.004913076341647732,-0.004913076341647732
0.005,IBKR,LONG,1,0,0.0,-0.005251798561150989,-0.005251798561150989
0.005,IVZ,LONG,1,0,0.0,-0.005318101240890383,-0.005318101240890383
0.005,VST,SHORT,2,0,0.0,-0.005534001037036259,-0.011068002074072518
0.005,ROST,SHORT,1,0,0.0,-0.00637121708985283,-0.00637121708985283
0.005,BLK,LONG,2,1,0.5,-0.006819653168865458,-0.013639306337730916
0.005,CBOE,SHORT,1,0,0.0,-0.006994861594563281,-0.006994861594563281
0.005,LDOS,LONG,1,0,0.0,-0.007496420248757629,-0.007496420248757629
0.005,PKG,LONG,1,0,0.0,-0.007552472117326792,-0.007552472117326792
0.005,BRK.B,SHORT,1,0,0.0,-0.007616468934727796,-0.007616468934727796
0.005,CVX,SHORT,1,0,0.0,-0.008767268862911827,-0.008767268862911827
0.005,DELL,LONG,1,0,0.0,-0.009246306595243725,-0.009246306595243725
0.005,ODFL,LONG,1,0,0.0,-0.009547636066578158,-0.009547636066578158
0.005,CVNA,SHORT,1,0,0.0,-0.009698078682525181,-0.009698078682525181
0.005,FIX,LONG,2,1,0.5,-0.01049066630981399,-0.02098133261962798
0.005,COST,SHORT,1,0,0.0,-0.010752361570938139,-0.010752361570938139
0.005,HUBB,SHORT,1,0,0.0,-0.011468873263591077,-0.011468873263591077
0.005,DVA,SHORT,1,0,0.0,-0.011971738846002774,-0.011971738846002774
0.005,CCL,LONG,1,0,0.0,-0.012171458811077729,-0.012171458811077729
0.005,BIIB,SHORT,1,0,0.0,-0.013234430866108215,-0.013234430866108215
0.005,TPR,LONG,1,0,0.0,-0.014237690330235253,-0.014237690330235253
0.005,AZO,LONG,1,0,0.0,-0.014670734945831598,-0.014670734945831598
0.005,TGT,LONG,1,0,0.0,-0.02259312029310001,-0.02259312029310001
0.005,LITE,LONG,1,0,0.0,-0.022658099425092892,-0.022658099425092892
0.005,MRVL,SHORT,1,0,0.0,-0.023670668953687742,-0.023670668953687742
0.005,WAT,SHORT,1,0,0.0,-0.023740040003934655,-0.023740040003934655
0.005,RCL,LONG,1,0,0.0,-0.02762356127285026,-0.02762356127285026
0.005,ANET,SHORT,1,0,0.0,-0.03091798517159663,-0.03091798517159663
0.0075,LITE,SHORT,2,2,1.0,0.06177407377262216,0.12354814754524432
0.0075,SNDK,SHORT,2,2,1.0,0.061310090835290945,0.12262018167058189
0.0075,GLW,SHORT,1,1,1.0,0.05457097736444994,0.05457097736444994
0.0075,PSKY,SHORT,1,1,1.0,0.05088852988691444,0.05088852988691444
0.0075,COHR,SHORT,2,2,1.0,0.048980880794028785,0.09796176158805757
0.0075,TEL,SHORT,1,1,1.0,0.045569907092680745,0.045569907092680745
0.0075,RDDT,LONG,1,1,1.0,0.04498009254277391,0.04498009254277391
0.0075,UAL,LONG,1,1,1.0,0.04272200183094288,0.04272200183094288
0.0075,WDAY,LONG,1,1,1.0,0.041939711664482404,0.041939711664482404
0.0075,IFF,SHORT,1,1,1.0,0.04121350887235254,0.04121350887235254
0.0075,PAYX,LONG,1,1,1.0,0.03951367781155013,0.03951367781155013
0.0075,BBY,LONG,1,1,1.0,0.038132295719844445,0.038132295719844445
0.0075,STLD,LONG,1,1,1.0,0.036928087408730326,0.036928087408730326
0.0075,KLAC,SHORT,1,1,1.0,0.035808057620017764,0.035808057620017764
0.0075,MCHP,SHORT,1,1,1.0,0.03533091632899694,0.03533091632899694
0.0075,TRMB,LONG,1,1,1.0,0.03531348196917561,0.03531348196917561
0.0075,LRCX,SHORT,2,2,1.0,0.03508723747237067,0.07017447494474134
0.0075,KKR,LONG,2,2,1.0,0.03416365400720589,0.06832730801441178
0.0075,NCLH,SHORT,1,1,1.0,0.03393351800554014,0.03393351800554014
