target_dte,moneyness_mode,slippage_per_side,executed_trades,coverage,win_rate,avg_option_return,median_option_return,profit_factor,portfolio_return,max_drawdown,avg_entry_premium,avg_contract_cost,positive_days,trading_days,rank_score
7,OTM_1,0.05,113,0.4538152610441767,0.39823008849557523,0.011122976581136458,-0.05335097001763689,1.0953068377588582,0.05243654700603906,-0.09386582518385633,6.943473451327434,694.3473451327434,3,4,0.021396619121644915
30,ATM,0.01,32,0.1285140562248996,0.5625,0.031804134707352466,0.018862374766936862,1.616121554922557,0.17538484816751665,-0.01375272423928986,13.305171875000001,1330.5171875,3,4,0.02073355245471337
21,OTM_2,0.01,58,0.23293172690763053,0.5,0.019139240330030477,-0.005730546880191312,1.2900593923509156,0.06478056926614051,-0.05746031357889414,9.216075862068966,921.6075862068965,3,4,0.02071013696895667
7,ITM_1,0.05,100,0.40160642570281124,0.43,0.010144725429815484,-0.0477738224217098,1.102915233716042,0.061593590194190195,-0.07183453845177201,9.559305,955.9305,3,4,0.01802701389717833
30,ITM_1,0.0,28,0.11244979919678715,0.4642857142857143,0.035821957435659475,-0.005319148936170193,1.7563785498881777,0.2795368458578693,-0.02765478945878297,12.406785714285714,1240.6785714285713,2,4,0.016913878569393886
7,OTM_2,0.05,108,0.43373493975903615,0.46296296296296297,0.008184113298749109,-0.03579769220303103,1.0727266183852844,0.046829061137855676,-0.08641014056269525,6.621708333333334,662.1708333333335,3,4,0.01686356591730648
30,OTM_2,0.0,39,0.1566265060240964,0.5641025641025641,0.021753318061721427,0.004899135446685632,1.381706340347735,0.09340842582659215,-0.08096136006317667,9.220512820512822,922.0512820512821,3,4,0.015342167771192313
30,OTM_1,0.01,38,0.15261044176706828,0.4473684210526316,0.022974285928045134,-0.014991335892868995,1.4408192915847098,0.20189239333730247,-0.044742459633458354,7.404628947368423,740.4628947368419,3,4,0.013334712721101545
7,ATM,0.05,108,0.43373493975903615,0.46296296296296297,0.005889301307438013,-0.022741147741147882,1.0563501842548464,0.054061098008672204,-0.11503109930547906,7.095666666666667,709.5666666666667,3,4,0.011643062831456163
30,ITM_1,0.01,28,0.11244979919678715,0.4642857142857143,0.015310631545844373,-0.02501579945228566,1.2684652724373484,0.18115822826692196,-0.04690915006355956,12.530853571428574,1253.0853571428568,2,4,0.005124903736893148
30,OTM_2,0.01,39,0.1566265060240964,0.48717948717948717,0.0015205790902021866,-0.014999857334436872,1.023130603471672,0.009340499417646253,-0.09916014501242076,9.312717948717951,931.271794871795,3,4,0.0006744747162323066
21,ITM_2,0.05,37,0.14859437751004015,0.4594594594594595,0.0015606635360034965,-0.010971055088702109,1.0227205954985363,-0.10256111377272803,-0.16911348477611832,11.67968918918919,1167.968918918919,1,4,0.0005669699635663466
30,ATM,0.025,32,0.1285140562248996,0.5,0.0012999474284951483,-0.0112592032010434,1.020094238455571,0.0424321710709068,-0.04291007163798044,13.5027734375,1350.27734375,2,4,0.0004621839363249689
30,ITM_2,0.0,19,0.07630522088353414,0.42105263157894735,0.002639968237409231,-0.014598540145985384,1.0661854565271216,0.05259662133184473,-0.06495018750957715,9.292105263157895,929.2105263157895,2,4,0.00037014305225966716
30,ITM_2,0.05,19,0.07630522088353414,0.15789473684210525,-0.09284955254710602,-0.10844629822732021,0.12435087507862948,-0.2946588906443959,-0.30361535714079013,9.75671052631579,975.671052631579,1,4,-0.0004651338015441148
30,ITM_2,0.025,19,0.07630522088353414,0.2631578947368421,-0.046269298505878964,-0.06266690404130304,0.3393594135527644,-0.1382426963035569,-0.190739174907815,9.524407894736841,952.4407894736842,2,4,-0.0011542068077704264
30,ITM_2,0.01,19,0.07630522088353414,0.3684210526315789,-0.017214288559371172,-0.03411144034111446,0.6640084126396202,-0.0283334439669799,-0.11450170565275763,9.385026315789474,938.5026315789473,2,4,-0.0012567746621045554
30,OTM_1,0.025,38,0.15261044176706828,0.4473684210526316,-0.007268856301904363,-0.04411206506085491,0.8913708447636152,0.06594133737008145,-0.0729836286021659,7.514598684210525,751.4598684210526,2,4,-0.0025413985937617622
30,ITM_1,0.025,28,0.11244979919678715,0.39285714285714285,-0.014705942927055562,-0.053840166061234984,0.7986153339708965,0.04755250009405465,-0.07508626314372036,12.716955357142854,1271.6955357142856,2,4,-0.0025536393496661354
30,ITM_1,0.05,28,0.11244979919678715,0.32142857142857145,-0.06282775279630819,-0.10005065856129697,0.37994813752289686,-0.14258708414167298,-0.1719983122354859,13.027125000000002,1302.7125,2,4,-0.003895570227431618
30,OTM_2,0.05,39,0.1566265060240964,0.23076923076923078,-0.0755565217536807,-0.09080554411966546,0.30679746105612393,-0.26731105114562737,-0.26731105114562737,9.68153846153846,968.153846153846,0,4,-0.004128725047956543
21,ITM_1,0.05,49,0.19678714859437751,0.3673469387755102,-0.01408667879252283,-0.050853548966756645,0.8264227690128187,-0.07683646827498058,-0.11524023329474653,13.489500000000003,1348.9499999999998,2,4,-0.005282185580270002
30,ATM,0.05,32,0.1285140562248996,0.40625,-0.04760359090745106,-0.05954935200685335,0.4655575032672374,-0.14677803040689308,-0.15737582407608897,13.832109375,1383.2109375,1,4,-0.0056553258440589175
30,OTM_1,0.05,38,0.15261044176706828,0.34210526315789475,-0.055753893845157075,-0.09079767848889642,0.40209820745079394,-0.12753597540328798,-0.19064183622000352,7.697881578947368,769.7881578947369,1,4,-0.006059851837771443
30,OTM_2,0.025,39,0.1566265060240964,0.41025641025641024,-0.028088307209582,-0.04412033457510378,0.6477350484409148,-0.10483020961337586,-0.12579251323082663,9.451025641025641,945.1025641025641,2,4,-0.0064851129782442125
21,OTM_2,0.025,58,0.23293172690763053,0.4482758620689655,-0.010990522872631116,-0.03512506138484195,0.8622123599699902,-0.05566119704137462,-0.08532549277833557,9.352948275862067,935.2948275862069,2,4,-0.006943214658222987
21,ATM,0.05,57,0.2289156626506024,0.42105263157894735,-0.026240950242335408,-0.038690476190476275,0.667903306670204,-0.09834600004530214,-0.13685856939426833,10.98392105263158,1098.3921052631579,2,4,-0.011218532076359412
21,OTM_1,0.05,62,0.24899598393574296,0.3870967741935484,-0.0287765381984107,-0.07049700477205828,0.6738936120939899,-0.10308201394658101,-0.14570223895266798,6.675459677419355,667.5459677419356,1,4,-0.012845939271894568
21,OTM_2,0.05,58,0.23293172690763053,0.3620689655172414,-0.05929379403880312,-0.08224960051134556,0.43882025055700513,-0.22706662765807006,-0.22706662765807006,9.581068965517243,958.1068965517244,0,4,-0.013619516844218537
