symbol,trade_direction,trades,wins,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_10m,score
BAC,LONG,2,2,1.0,0.01836297914645013,0.01836297914645013,0.03672595829290026,0.020146904512067243,0.01657905378083302,0.03297708387168041,-0.014767695276598602,0.03672595829290026
EXPE,LONG,1,1,1.0,0.0354492308968033,0.0354492308968033,0.0354492308968033,0.0354492308968033,0.0354492308968033,0.1353658943158731,-0.010096449825569453,0.0354492308968033
C,LONG,2,2,1.0,0.017256265043086527,0.017256265043086527,0.034512530086173054,0.03271299796452465,0.0017995321216484061,0.04691716339231544,-0.011087349204927821,0.034512530086173054
COHR,SHORT,1,1,1.0,0.03424952345815651,0.03424952345815651,0.03424952345815651,0.03424952345815651,0.03424952345815651,-0.05448012191675755,0.020690376569037605,0.03424952345815651
INTU,LONG,1,1,1.0,0.03345070422535201,0.03345070422535201,0.03345070422535201,0.03345070422535201,0.03345070422535201,0.14977198150522275,-0.0063998634695793255,0.03345070422535201
ELV,SHORT,3,2,0.6666666666666666,0.01598561004871116,0.024724994040118485,0.047956830146133486,0.031739531074024815,-0.008507694968009811,-0.08644791335743995,0.016132945024785867,0.031971220097422315
CIEN,SHORT,1,1,1.0,0.0318798577262548,0.0318798577262548,0.0318798577262548,0.0318798577262548,0.0318798577262548,-0.035085492429282605,0.03486588732490348,0.0318798577262548
GLW,SHORT,1,1,1.0,0.03114435733294981,0.03114435733294981,0.03114435733294981,0.03114435733294981,0.03114435733294981,-0.05715163562429726,0.022655388010297983,0.03114435733294981
AKAM,LONG,2,2,1.0,0.015298682480912484,0.015298682480912484,0.03059736496182497,0.01617168429617588,0.014425680665649088,0.06134814899826935,-0.009061084811675557,0.03059736496182497
CDW,LONG,2,2,1.0,0.015197613418055478,0.015197613418055478,0.030395226836110956,0.015478346780833263,0.014916880055277693,0.04820043225747095,-0.01716507791838512,0.030395226836110956
MET,LONG,1,1,1.0,0.02906643757159233,0.02906643757159233,0.02906643757159233,0.02906643757159233,0.02906643757159233,0.0387225356525247,-0.017721518987341645,0.02906643757159233
MOS,SHORT,3,3,1.0,0.009541649982743141,0.006674082313681859,0.028624949948229422,0.01571268237934911,0.0062381852551984555,-0.07208913842892117,0.011323032979387119,0.028624949948229422
STZ,SHORT,1,1,1.0,0.027659504241344196,0.027659504241344196,0.027659504241344196,0.027659504241344196,0.027659504241344196,-0.04438275533018876,0.009428933164523423,0.027659504241344196
MCHP,SHORT,1,1,1.0,0.02730987026019642,0.02730987026019642,0.02730987026019642,0.02730987026019642,0.02730987026019642,-0.039840325572871316,0.010942028985507113,0.02730987026019642
KLAC,SHORT,1,1,1.0,0.027224498067541947,0.027224498067541947,0.027224498067541947,0.027224498067541947,0.027224498067541947,-0.03502725410463803,0.005117759388924226,0.027224498067541947
RF,LONG,2,2,1.0,0.013380161326961293,0.013380161326961293,0.026760322653922586,0.017695783132530174,0.009064539521392412,0.032886139394536995,-0.009612244992237395,0.026760322653922586
VRSN,LONG,1,1,1.0,0.026583317547515195,0.026583317547515195,0.026583317547515195,0.026583317547515195,0.026583317547515195,0.052091222106218416,-0.008286716206061584,0.026583317547515195
FOX,LONG,1,1,1.0,0.02529256323140805,0.02529256323140805,0.02529256323140805,0.02529256323140805,0.02529256323140805,0.027062521624126035,-0.004883546205860401,0.02529256323140805
GEV,SHORT,1,1,1.0,0.025265146533067086,0.025265146533067086,0.025265146533067086,0.025265146533067086,0.025265146533067086,-0.03206747706440438,0.0072866984631692056,0.025265146533067086
BEN,LONG,3,3,1.0,0.008240602758280424,0.008259700345754961,0.024721808274841273,0.015708812260536442,0.0007532956685498693,0.03947406999300629,-0.006877043151413946,0.024721808274841273
GPN,LONG,3,2,0.6666666666666666,0.012100523672594843,0.008189262966332933,0.03630157101778453,0.0295501225733783,-0.0014378145219267058,0.03957361295281584,-0.009340732547103511,0.024201047345189686
Q,SHORT,1,1,1.0,0.023976245346569742,0.023976245346569742,0.023976245346569742,0.023976245346569742,0.023976245346569742,-0.04496217573481842,0.010026857654431343,0.023976245346569742
ZTS,SHORT,1,1,1.0,0.02391885956155416,0.02391885956155416,0.02391885956155416,0.02391885956155416,0.02391885956155416,-0.04016857432643217,0.0029235082098519882,0.02391885956155416
APH,SHORT,2,2,1.0,0.01167847841546936,0.01167847841546936,0.02335695683093872,0.012895747301311317,0.010461209529627402,-0.056013102044332796,0.011311045294844724,0.02335695683093872
SWK,SHORT,1,1,1.0,0.02300796188326743,0.02300796188326743,0.02300796188326743,0.02300796188326743,0.02300796188326743,-0.03841686810512135,0.010452299505891105,0.02300796188326743
ROP,LONG,2,2,1.0,0.011483756820593993,0.011483756820593993,0.022967513641187987,0.016475785800714737,0.006491727840473249,0.0436948254918158,-0.004516359138030501,0.022967513641187987
GDDY,LONG,1,1,1.0,0.022641920209002242,0.022641920209002242,0.022641920209002242,0.022641920209002242,0.022641920209002242,0.07147381115258145,-0.010821578550662347,0.022641920209002242
FICO,LONG,1,1,1.0,0.022115512312413044,0.022115512312413044,0.022115512312413044,0.022115512312413044,0.022115512312413044,0.031851953575076086,-0.013262983654045102,0.022115512312413044
URI,LONG,2,2,1.0,0.010910722886560142,0.010910722886560142,0.021821445773120285,0.01810314429323623,0.0037183014798840563,0.05267283784036514,-0.007888459667183212,0.021821445773120285
SBUX,LONG,1,1,1.0,0.02146099876186547,0.02146099876186547,0.02146099876186547,0.02146099876186547,0.02146099876186547,0.03086449823933557,-0.0030857848179386416,0.02146099876186547
CFG,LONG,1,1,1.0,0.02111932418162632,0.02111932418162632,0.02111932418162632,0.02111932418162632,0.02111932418162632,0.02584041468722642,-0.01618907453900098,0.02111932418162632
BLDR,SHORT,1,1,1.0,0.021017018659011802,0.021017018659011802,0.021017018659011802,0.021017018659011802,0.021017018659011802,-0.040435471874833984,0.01710114702815435,0.021017018659011802
IBM,LONG,1,1,1.0,0.020946745562130165,0.020946745562130165,0.020946745562130165,0.020946745562130165,0.020946745562130165,0.09288156339902298,-0.010924697619976609,0.020946745562130165
BBY,LONG,1,1,1.0,0.02089959109495676,0.02089959109495676,0.02089959109495676,0.02089959109495676,0.02089959109495676,0.03061058617201806,-0.003696718219539874,0.02089959109495676
ALLE,SHORT,1,1,1.0,0.020683887155402602,0.020683887155402602,0.020683887155402602,0.020683887155402602,0.020683887155402602,-0.031589551449733966,0.0031300419490158937,0.020683887155402602
CTSH,LONG,1,1,1.0,0.020164704071423012,0.020164704071423012,0.020164704071423012,0.020164704071423012,0.020164704071423012,0.03332475493539433,-0.0053586465589833265,0.020164704071423012
LEN,SHORT,1,1,1.0,0.019939804364183508,0.019939804364183508,0.019939804364183508,0.019939804364183508,0.019939804364183508,-0.026132042211379214,0.00834597875569032,0.019939804364183508
SNPS,LONG,1,1,1.0,0.019712710320183513,0.019712710320183513,0.019712710320183513,0.019712710320183513,0.019712710320183513,0.03566763637574444,-0.006500758225869041,0.019712710320183513
KKR,LONG,1,1,1.0,0.019653824678950382,0.019653824678950382,0.019653824678950382,0.019653824678950382,0.019653824678950382,0.12629610124907287,-0.03740728797162207,0.019653824678950382
FDS,LONG,1,1,1.0,0.019583012979964565,0.019583012979964565,0.019583012979964565,0.019583012979964565,0.019583012979964565,0.03969317723634247,-0.008475336322869897,0.019583012979964565
IT,LONG,1,1,1.0,0.01912034208918767,0.01912034208918767,0.01912034208918767,0.01912034208918767,0.01912034208918767,0.05612852413112668,-0.0033485540334856623,0.01912034208918767
PRU,LONG,1,1,1.0,0.01899664147774982,0.01899664147774982,0.01899664147774982,0.01899664147774982,0.01899664147774982,0.029341168942671247,-0.015193798449612439,0.01899664147774982
UBER,LONG,1,1,1.0,0.018939393939394034,0.018939393939394034,0.018939393939394034,0.018939393939394034,0.018939393939394034,0.03528628253298938,-0.008303677342823335,0.018939393939394034
APTV,LONG,1,1,1.0,0.018418656768681263,0.018418656768681263,0.018418656768681263,0.018418656768681263,0.018418656768681263,0.036488737384056336,-0.01781538038244601,0.018418656768681263
VEEV,LONG,1,1,1.0,0.018293341980112565,0.018293341980112565,0.018293341980112565,0.018293341980112565,0.018293341980112565,0.029577716291181,-0.007881614926813607,0.018293341980112565
DECK,SHORT,1,1,1.0,0.018095412173277318,0.018095412173277318,0.018095412173277318,0.018095412173277318,0.018095412173277318,-0.02673287701519178,0.008479262672811183,0.018095412173277318
HUBB,SHORT,1,1,1.0,0.01752685733138132,0.01752685733138132,0.01752685733138132,0.01752685733138132,0.01752685733138132,-0.027159014086700295,0.0027188801935265072,0.01752685733138132
VMC,SHORT,1,1,1.0,0.017515651192227446,0.017515651192227446,0.017515651192227446,0.017515651192227446,0.017515651192227446,-0.026915642742044166,0.002606756988509762,0.017515651192227446
AXP,LONG,1,1,1.0,0.017377193279015435,0.017377193279015435,0.017377193279015435,0.017377193279015435,0.017377193279015435,0.02845199099129725,-0.015280644516945108,0.017377193279015435
